zip_code,date,rent_usd,beds_baths,sqft,address,url
94107,2026-04-10 23:35:43,4731.0,"1 Bed, 1 Bath",567.0,"555-585 Bryant St, San Francisco, CA 94107",https://www.apartments.com/quincy-san-francisco-ca/1hxf6t6/#6ncyjsv-2-unit/
94102,2026-04-10 23:35:49,2800.0,1 Bed,,,https://www.apartments.com/792-hayes-st-san-francisco-ca/pt8fb9s/
94110,2026-04-10 23:35:55,3900.0,2 Beds,,,https://www.apartments.com/959-york-st-san-francisco-ca/3rchrzf/
94133,2026-04-10 23:36:01,2500.0,1 Bed,,,https://www.apartments.com/873-greenwich-st-san-francisco-ca/skk6mr6/
94124,2026-04-10 23:36:07,3350.0,2 Beds,,,https://www.apartments.com/1482-innes-avenue-san-francisco-ca/rgkckw0/
94122,2026-04-10 23:36:12,2400.0,1 Bed,,,https://www.apartments.com/1379-19th-ave-san-francisco-ca/sqtcjm7/
94103,2026-04-10 23:36:18,9200.0,"2 Beds, 2.5 Baths",1453.0,,https://www.apartments.com/765-market-st-san-francisco-ca-unit-34e/xvwqhjm/
94116,2026-04-10 23:36:24,1200.0,"1 Bed, 1 Bath",250.0,,https://www.apartments.com/2230-quintara-st-san-francisco-ca/j102kt7/
94133,2026-04-10 23:36:30,8500.0,3 Beds,,,https://www.apartments.com/1114-montgomery-st-san-francisco-ca/b461cq8/
94109,2026-04-10 23:36:36,7500.0,2 Beds,,,https://www.apartments.com/1201-sutter-st-san-francisco-ca/z2h3xjy/
94107,2026-04-10 23:36:47,3350.0,"Studio, 1 Bath",436.0,,https://www.apartments.com/451-kansas-st-san-francisco-ca/zedddny/
94121,2026-04-10 23:36:59,6000.0,"4 Beds, 3 Baths",1660.0,,https://www.apartments.com/681-40th-ave-san-francisco-ca-unit-furnished-4-bedrooms-3-baths-2nd-floor-flat/f46fvyt/
94117,2026-04-10 23:37:05,5500.0,2 Beds,,,https://www.apartments.com/15-woodland-ave-san-francisco-ca/1nbn9h4/
94124,2026-04-10 23:37:11,4495.0,"2 Beds, 2.5 Baths",1570.0,,https://www.apartments.com/6635-3rd-st-san-francisco-ca-unit-201/e8shbsp/
94158,2026-04-10 23:37:15,4300.0,"1 Bed, 1 Bath",664.0,,https://www.apartments.com/300-berry-st-san-francisco-ca-unit-614/m867ncj/
94110,2026-04-10 23:37:22,1400.0,1 Bed,,,https://www.apartments.com/3500-23rd-st-san-francisco-ca/0v6lwp1/
94116,2026-04-10 23:37:28,2500.0,"2 Beds, 1 Bath",670.0,,https://www.apartments.com/2285-46th-ave-san-francisco-ca/e86gq2n/
94014,2026-04-10 23:37:34,2500.0,1 Bed,,,https://www.apartments.com/254-abbot-ave-daly-city-ca/6h41y8v/
