title,beds_baths,pricing,address,zip_code,url,scraped_at
"Vara 1600 15th St, San Francisco, CA 94103",1 Bed,"$3,020+","1600 15th St, San Francisco, CA 94103",94103,https://www.apartments.com/vara-san-francisco-ca/lwhhlfg/,2026-04-12 05:41:14 UTC
"Vara 1600 15th St, San Francisco, CA 94103",3 Beds,"$5,528","1600 15th St, San Francisco, CA 94103",94103,https://www.apartments.com/vara-san-francisco-ca/lwhhlfg/,2026-04-12 05:41:14 UTC
"The Wilson 973 Market St, San Francisco, CA 94103",Studio,"$2,504","973 Market St, San Francisco, CA 94103",94103,https://www.apartments.com/the-wilson-san-francisco-ca/82c6d02/,2026-04-12 05:41:17 UTC
"The Wilson 973 Market St, San Francisco, CA 94103",1 Bed,"$2,828","973 Market St, San Francisco, CA 94103",94103,https://www.apartments.com/the-wilson-san-francisco-ca/82c6d02/,2026-04-12 05:41:17 UTC
"225 Ellis St 225 Ellis St, San Francisco, CA 94102",Studio,"$1,400+","225 Ellis St, San Francisco, CA 94102",94102,https://www.apartments.com/225-ellis-st-san-francisco-ca/03p73e1/,2026-04-12 05:41:20 UTC
"Fox Plaza 1390 Market St, San Francisco, CA 94102",Studio,"$3,187+","1390 Market St, San Francisco, CA 94102",94102,https://www.apartments.com/fox-plaza-san-francisco-ca/9ffy8k5/,2026-04-12 05:41:24 UTC
"MB360 701 China Basin St, San Francisco, CA 94158",1 Bed,"$4,499+","701 China Basin St, San Francisco, CA 94158",94158,https://www.apartments.com/mb360-san-francisco-ca/bzdysc8/,2026-04-12 05:41:27 UTC
"MB360 701 China Basin St, San Francisco, CA 94158",2 Beds,"$5,939","701 China Basin St, San Francisco, CA 94158",94158,https://www.apartments.com/mb360-san-francisco-ca/bzdysc8/,2026-04-12 05:41:27 UTC
"500 Folsom 500 Folsom St, San Francisco, CA 94105",Studio,"$4,367+","500 Folsom St, San Francisco, CA 94105",94105,https://www.apartments.com/500-folsom-san-francisco-ca/81mv0f0/,2026-04-12 05:41:30 UTC
"500 Folsom 500 Folsom St, San Francisco, CA 94105",1 Bed,"$5,247+","500 Folsom St, San Francisco, CA 94105",94105,https://www.apartments.com/500-folsom-san-francisco-ca/81mv0f0/,2026-04-12 05:41:30 UTC
"Avalon at Mission Bay 255 King St, San Francisco, CA 94107",Studio,"$3,790","255 King St, San Francisco, CA 94107",94107,https://www.apartments.com/avalon-at-mission-bay-san-francisco-ca/pxw0s0v/,2026-04-12 05:41:33 UTC
"Avalon at Mission Bay 255 King St, San Francisco, CA 94107",1 Bed,"$4,495+","255 King St, San Francisco, CA 94107",94107,https://www.apartments.com/avalon-at-mission-bay-san-francisco-ca/pxw0s0v/,2026-04-12 05:41:33 UTC
"Avalon at Mission Bay 255 King St, San Francisco, CA 94107",2 Beds,"$6,160+","255 King St, San Francisco, CA 94107",94107,https://www.apartments.com/avalon-at-mission-bay-san-francisco-ca/pxw0s0v/,2026-04-12 05:41:33 UTC
"Venn on Market 1844 Market St, San Francisco, CA 94102",1 Bed,"$4,295+","1844 Market St, San Francisco, CA 94102",94102,https://www.apartments.com/venn-on-market-san-francisco-ca/cf4h0gg/,2026-04-12 05:41:36 UTC
"Venn on Market 1844 Market St, San Francisco, CA 94102",2 Beds,"$5,502+","1844 Market St, San Francisco, CA 94102",94102,https://www.apartments.com/venn-on-market-san-francisco-ca/cf4h0gg/,2026-04-12 05:41:36 UTC
"Avalon Dogpatch 800 Indiana St, San Francisco, CA 94107",2 Beds,"$6,510+","800 Indiana St, San Francisco, CA 94107",94107,https://www.apartments.com/avalon-dogpatch-san-francisco-ca/6gtpler/,2026-04-12 05:41:39 UTC
"Sunset Towers 8 Locksley Ave, San Francisco, CA 94122",Studio,"$3,937","8 Locksley Ave, San Francisco, CA 94122",94122,https://www.apartments.com/sunset-towers-san-francisco-ca/777vxgy/,2026-04-12 05:41:42 UTC
"Sunset Towers 8 Locksley Ave, San Francisco, CA 94122",1 Bed,"$4,522+","8 Locksley Ave, San Francisco, CA 94122",94122,https://www.apartments.com/sunset-towers-san-francisco-ca/777vxgy/,2026-04-12 05:41:42 UTC
"Olume Apartments 1401 Mission St, San Francisco, CA 94103",Studio,"$2,989","1401 Mission St, San Francisco, CA 94103",94103,https://www.apartments.com/olume-apartments-san-francisco-ca/2slh0s9/,2026-04-12 05:41:42 UTC
"Olume Apartments 1401 Mission St, San Francisco, CA 94103",2 Beds,"$4,579+","1401 Mission St, San Francisco, CA 94103",94103,https://www.apartments.com/olume-apartments-san-francisco-ca/2slh0s9/,2026-04-12 05:41:42 UTC
"Brick + Iron Lofts at Dogpatch 2235 3rd St, San Francisco, CA 94107",1 Bed,"$4,164","2235 3rd St, San Francisco, CA 94107",94107,https://www.apartments.com/brick-iron-lofts-at-dogpatch-san-francisco-ca/h9qg9h3/,2026-04-12 05:41:49 UTC
"Brick + Iron Lofts at Dogpatch 2235 3rd St, San Francisco, CA 94107",2 Beds,"$5,217+","2235 3rd St, San Francisco, CA 94107",94107,https://www.apartments.com/brick-iron-lofts-at-dogpatch-san-francisco-ca/h9qg9h3/,2026-04-12 05:41:49 UTC
"SoMa Square One Saint Francis Pl, San Francisco, CA 94107",1 Bed,"$3,830+","One Saint Francis Pl, San Francisco, CA 94107",94107,https://www.apartments.com/soma-square-san-francisco-ca/8zcfk91/,2026-04-12 05:41:52 UTC
"Katsura Apartments 1881 Sutter St, San Francisco, CA 94115",1 Bed,"$3,400+","1881 Sutter St, San Francisco, CA 94115",94115,https://www.apartments.com/katsura-apartments-san-francisco-ca/vmx7tee/,2026-04-12 05:41:55 UTC
"188 Octavia 188 Octavia St, San Francisco, CA 94102",Studio,"$2,450+","188 Octavia St, San Francisco, CA 94102",94102,https://www.apartments.com/188-octavia-san-francisco-ca/zr2464w/,2026-04-12 05:41:58 UTC
"188 Octavia 188 Octavia St, San Francisco, CA 94102",2 Beds,"$3,900+","188 Octavia St, San Francisco, CA 94102",94102,https://www.apartments.com/188-octavia-san-francisco-ca/zr2464w/,2026-04-12 05:41:58 UTC
"SF House 229 Ellis St, San Francisco, CA 94102",Studio,"$1,300+","229 Ellis St, San Francisco, CA 94102",94102,https://www.apartments.com/sf-house-san-francisco-ca/tt0xekb/,2026-04-12 05:42:01 UTC
