title,pricing,beds_baths,address,amenities,url,scraped_at
Top Floor 1 BR with Views! Beacon Condos! 24 Hr. Doorman / Pool / Gym!,"$4,895",,city of san francisco,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-br-with-views/7927114510.html,2026-04-12 05:22:44 UTC
Fabulous 2 Bedroom Condo - Top Floor,"$4,025",,ingleside / SFSU / CCSF,,https://sfbay.craigslist.org/sfc/apa/d/daly-city-fabulous-bedroom-condo-top/7927120958.html,2026-04-12 05:22:44 UTC
Junior 1-Bedroom | Remodeled Kitchen | Great Natural Light,"$3,695",,city of san francisco,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-junior-bedroom-remodeled/7927120644.html,2026-04-12 05:22:44 UTC
*STUDIO with Private Rooftop Access - Sunset Views Included*,"$1,480",,city of san francisco,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-with-private/7927115272.html,2026-04-12 05:22:44 UTC
🌆 Spacious 4BD/2BA Flat in the Heart of the Mission,"$5,295",,mission district,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-4bd-2ba-flat-in/7927120223.html,2026-04-12 05:22:44 UTC
Charming Studio in the Heart of Downtown – Across from Hotel Monaco,"$2,495",,city of san francisco,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-studio-in-the/7927117816.html,2026-04-12 05:22:44 UTC
Garden Level 1BD with Private Patio /Quiet and Private,"$1,500",,Lower Nob Hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-garden-level-1bd-with/7927117304.html,2026-04-12 05:22:44 UTC
Remodeled 3 BR x 2 BA with Laundry in Unit,"$6,495",,city of san francisco,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-remodeled-br-2-ba-with/7927116070.html,2026-04-12 05:22:44 UTC
"Custom-designed cabinets, High Speed Internet Available, Pet Run",$0,,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-custom-designed-cabinets/7927113909.html,2026-04-12 05:22:44 UTC
"TMLP 13-mo. | Cozy Studio/1 BA Haven with High-Speed Internet, First Month Free!","$5,015",,SOMA / south beach,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-13-mo-cozy-studio-ba/7927113684.html,2026-04-12 05:22:44 UTC
Beautiful Marina Green Studio -- Epic Location!,"$3,150",,marina / cow hollow,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-marina-green/7927105669.html,2026-04-12 05:22:44 UTC
"Spacious Closets, Secure package and delivery service, 24-hour doorman",$0,,pacific heights,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-closets-secure/7927113174.html,2026-04-12 05:22:44 UTC
"Stainless Steel Appliances, Roof View Fire Pits, Grills, SoMa Life","$4,379",,Mid-Market,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stainless-steel/7927113060.html,2026-04-12 05:22:44 UTC
"Soft Close Cabinetry, Hard Surface Plank and Stone Flooring",$0,,bayview,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-soft-close-cabinetry-hard/7927112537.html,2026-04-12 05:22:44 UTC
"LEED Certified Community, Brushed Chrome Hardware, Concierge",$0,,portola district,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-leed-certified-community/7927112429.html,2026-04-12 05:22:44 UTC
"TMLP 14-mo. | Bicycle Storage Available, Keyless Entry","$4,390",,financial district,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-14-mo-bicycle/7927112376.html,2026-04-12 05:22:44 UTC
TMLP 12-mo. | Luxury high-rise with top tear amenities and handcrafted apartment,"$3,376",,downtown / civic / van ness,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-12-mo-luxury-high/7927111875.html,2026-04-12 05:22:44 UTC
"Online Rent Payment, Cable Ready, Granite Counters, Dishwasher",$0,,potrero hill,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-online-rent-payment-cable/7927111758.html,2026-04-12 05:22:44 UTC
"TMLP 15-mo. | Cultured Neighborhood, City Views, Heated Pool. Live With Us!","$2,827",,tenderloin,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-15-mo-cultured/7927111395.html,2026-04-12 05:22:44 UTC
