title,pricing,beds_baths,address,amenities,url,scraped_at
"Spera 39 Tehama St, San Francisco, CA 94105","1 Bed $5,079+ 2 Beds $7,908+","1 Bed $5,079+","39 Tehama St, San Francisco, CA 94105",Pets Allowed Fitness Center In Unit Washer & Dryer Package Service Controlled Access Concierge EV Charging,https://www.apartments.com/spera-san-francisco-ca/eqzek7p/,
"L Seven 1222 Harrison St, San Francisco, CA 94103","Studio $3,017+ 1 Bed $3,698+ 2 Beds $4,740+","Studio $3,017+","1222 Harrison St, San Francisco, CA 94103",Pets Allowed Fitness Center In Unit Washer & Dryer Balcony Patio Stainless Steel Appliances Grill,https://www.apartments.com/l-seven-san-francisco-ca/yjlxlwt/,
"FOUND Study San Francisco | Student Housing 16 Turk St, San Francisco, CA 94102",1 Bed $850+,1 Bed $850+,"16 Turk St, San Francisco, CA 94102",Heat High-Speed Internet Controlled Access Elevator Laundry Facilities,https://www.apartments.com/found-study-san-francisco-student-housing-san-francisco-ca/8kb4893/,
"Quincy 555-585 Bryant St, San Francisco, CA 94107","Studio $4,578+ 1 Bed $4,634+ 2 Beds $5,697+","Studio $4,578+","555-585 Bryant St, San Francisco, CA 94107",Pets Allowed Fitness Center In Unit Washer & Dryer Concierge EV Charging Rooftop Deck,https://www.apartments.com/quincy-san-francisco-ca/1hxf6t6/,
"The Fitzgerald 2095 Bryant St, San Francisco, CA 94110","1 Bed $4,085","1 Bed $4,085","2095 Bryant St, San Francisco, CA 94110",Pets Allowed Fitness Center Dishwasher In Unit Washer & Dryer Grill Gated Rooftop Deck,https://www.apartments.com/the-fitzgerald-san-francisco-ca/hxj33g1/,
"Hawkins 77 Bruton St, San Francisco, CA 94130","Studio $2,368+ 1 Bed $2,809+ 2 Beds+ $3,190+","Studio $2,368+","77 Bruton St, San Francisco, CA 94130",Pets Allowed Fitness Center Stainless Steel Appliances Grill Courtyard EV Charging,https://www.apartments.com/hawkins-san-francisco-ca/4qh5c9k/,
"Lark Landing 230 Folsom St, San Francisco, CA 94105",1 Bed $898+,1 Bed $898+,"230 Folsom St, San Francisco, CA 94105",High-Speed Internet Business Center Elevator Rooftop Deck,https://www.apartments.com/lark-landing-san-francisco-ca/9fet7d6/,
"Tower 737 Condominium Rentals 737 Post St, San Francisco, CA 94109","Studio $2,226+ 1 Bed $3,988+","Studio $2,226+","737 Post St, San Francisco, CA 94109",Pets Allowed Fitness Center Kitchen Balcony Stainless Steel Appliances Business Center Carpet,https://www.apartments.com/tower-737-condominium-rentals-san-francisco-ca/g44fkey/,
"333 Fremont 333 Fremont St, San Francisco, CA 94105","1 Bed $4,320+","1 Bed $4,320+","333 Fremont St, San Francisco, CA 94105",Pets Allowed In Unit Washer & Dryer Balcony Patio Package Service,https://www.apartments.com/333-fremont-san-francisco-ca/9ew6sb7/,
"The Gateway 460 Davis Ct, San Francisco, CA 94111","Studio $3,387+ 1 Bed $4,410+ 2 Beds $5,490+","Studio $3,387+","460 Davis Ct, San Francisco, CA 94111",Pets Allowed In Unit Washer & Dryer Stainless Steel Appliances Controlled Access Hardwood Floors Elevator,https://www.apartments.com/the-gateway-san-francisco-ca/cs10w0d/,
